Symbol,Name,Sector,Sub_Industry,Headquarters Location,Date_Added,CIK,Founded,mw-redirect href
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,66740,1902,
AOS,A. O. Smith,Industrials,Building Products,,2017-07-26,91142,1916,"https://en.wikipedia.org/wiki/Milwaukee,_Wisconsin"
ABT,Abbott,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,1800,1888,
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,1551152,2013 (1888),
ACN,Accenture,Information Technology,IT Consulting & Other Services,,2011-07-06,1467373,1989,"https://en.wikipedia.org/wiki/Dublin,_Ireland"
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,796343,1982,
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,2488,1969,
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,,1998-10-02,874761,1981,"https://en.wikipedia.org/wiki/Arlington,_Virginia"
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,4977,1955,
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,1090872,1999,
APD,"Allentown, Pennsylvania",Materials,Industrial Gases,,1985-04-30,2969,1940,https://en.wikipedia.org/wiki/Air_Products_and_Chemicals
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,2023-09-18,1559720,2008,"https://en.wikipedia.org/wiki/San_Francisco,_California"
AKAM,"Cambridge, Massachusetts",Information Technology,Internet Services & Infrastructure,,2007-07-12,1086222,1998,https://en.wikipedia.org/wiki/Akamai
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,915913,1994,
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1035443,1994,
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",2017-06-19,1097149,1997,
ALLE,Allegion,Industrials,Building Products,,2013-12-02,1579241,1908,"https://en.wikipedia.org/wiki/Dublin,_Ireland"
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,352541,1917,
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",1995-07-13,899051,1931,
GOOGL,Alphabet Inc.,Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1652044,1998,
GOOG,Alphabet Inc.,Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1652044,1998,
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,764180,1985,
AMZN,Amazon,Consumer Discretionary,Broadline Retail,,2005-11-18,1018724,1994,"https://en.wikipedia.org/wiki/Seattle,_Washington"
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Warmley,2019-06-07,1748790,2019 (1860),
AEE,Ameren,Utilities,Multi-Utilities,,1991-09-19,1002910,1902,"https://en.wikipedia.org/wiki/St._Louis,_Missouri"
AAL,American Airlines Group,Industrials,Passenger Airlines,"Fort Worth, Texas",2015-03-23,6201,1934,
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,4904,1906,
